name,release_date,developer,publisher,steamspy_tags,positive_ratings,negative_ratings,price
Sigils of Elohim,13/10/2014,Croteam,Devolver Digital,"Free to Play,Casual,Puzzle",828,71,0
Might & Magic® Heroes® VII,29/09/2015,Limbic Entertainment,Ubisoft,"Strategy,Turn-Based Strategy,RPG",1438,1665,3399
Grow Home,04/02/2015,Reflections a Ubisoft Studio,Ubisoft,"Open World,Adventure,Singleplayer",3855,382,669
Boundless,11/09/2018,Wonderstruck,Square Enix,"Sandbox,Massively Multiplayer,Open World",1153,486,3299
Shadow Warrior 2,13/10/2016,Flying Wild Hog,Devolver Digital,"Action,Gore,FPS",10152,1406,3499
Total War: ATTILA,17/02/2015,CREATIVE ASSEMBLY,SEGA,"Strategy,Historical,War",12297,4469,2999
Worms W.M.D,23/08/2016,Team17 Digital Ltd,Team17 Digital Ltd,"Strategy,Multiplayer,Action",2132,528,1999
Sonic Lost World,02/11/2015,Sonic Team,SEGA,"Adventure,Platformer,3D Platformer",1000,612,1999
Noct,21/10/2015,C3SK,Devolver Digital,"Early Access,Indie,Action",317,208,699
Crossing Souls,13/02/2018,Fourattic,Devolver Digital,"Adventure,Indie,Action",610,132,1099
Yoku's Island Express,29/05/2018,Villa Gorilla,Team17 Digital Ltd,"Adventure,Pinball,Indie",562,20,1599
Might & Magic Heroes Online,24/11/2015,Blue Byte,Ubisoft,"Free to Play,Strategy,Massively Multiplayer",276,417,0
Fork Parker's Holiday Profit Hike,18/12/2014,Dodge Roll,Devolver Digital,"Free to Play,Platformer,Action",510,107,0
ZOMBI,18/08/2015,Straight Right,Ubisoft,"Zombies,Survival,Action",1066,576,1699
FINAL FANTASY TYPE-0™ HD,18/08/2015,Square Enix,Square Enix,"RPG,JRPG,Action",1447,956,1999
TEMBO THE BADASS ELEPHANT,21/07/2015,Game Freak,SEGA,"Adventure,Action,Platformer",325,110,999
SHOGUN: Total War™ - Collection,25/06/2015,CREATIVE ASSEMBLY,SEGA,"Strategy,Action,Historical",204,55,699
Medieval: Total War™ - Collection,25/06/2015,CREATIVE ASSEMBLY,SEGA,"Strategy,Action,Medieval",437,216,699
LIGHTNING RETURNS™: FINAL FANTASY® XIII,10/12/2015,Square Enix,Square Enix,"RPG,JRPG,Female Protagonist",2135,527,1299
FINAL FANTASY IV: THE AFTER YEARS,11/05/2015,Square Enix,Square Enix,"RPG,JRPG,Singleplayer",160,96,1099
The Deadly Tower of Monsters,19/01/2016,ACE Team,SEGA,"Action,Adventure,Indie",912,122,1099
The Settlers Online,19/08/2015,Blue Byte,Ubisoft,"Free to Play,City Builder,Strategy",332,586,0
Sheltered,15/03/2016,"Unicube,Team 17 Digital Ltd",Team17 Digital Ltd,"Survival,Post-apocalyptic,Base-Building",2998,818,999
Beyond Eyes,11/08/2015,"Tiger and Squid,Team17 Digital Ltd",Team17 Digital Ltd,"Indie,Walking Simulator,Female Protagonist",683,314,999
Tom Clancy's Rainbow Six® Siege,01/12/2015,Ubisoft Montreal,Ubisoft,"FPS,Multiplayer,Tactical",251178,59620,1699
FINAL FANTASY X/X-2 HD Remaster,12/05/2016,Square Enix,Square Enix,"JRPG,Story Rich,RPG",6334,723,1999
Downwell,15/10/2015,Moppin,Devolver Digital,"Platformer,Indie,Action",4486,149,199
Yooka-Laylee,11/04/2017,Playtonic Games,Team17 Digital Ltd,"3D Platformer,Adventure,Kickstarter",2434,791,3499
Mother Russia Bleeds,05/09/2016,Le Cartel Studio,Devolver Digital,"Gore,Violent,Beat 'em up",2562,422,1099
Tom Clancy’s The Division™,07/03/2016,Massive Entertainment,Ubisoft,"Open World,Multiplayer,Third-Person Shooter",49832,25607,4199
OlliOlli2: Welcome to Olliwood,11/08/2015,Roll7,Devolver Digital,"Skateboarding,Indie,Sports",338,65,1099
Assassin's Creed® Syndicate,18/11/2015,Ubisoft Quebec,Ubisoft,"Assassin,Open World,Action",7203,2391,3399
Far Cry® Primal,29/02/2016,Ubisoft,Ubisoft,"Open World,Survival,Action",8428,2633,4199
Champions of Anteria™,30/08/2016,Blue Byte,Ubisoft,"Strategy,RPG,City Builder",65,69,2599
Trackmania® Turbo,24/03/2016,Nadeo,Ubisoft,"Racing,Level Editor,Arcade",742,441,3399
Anno 2205™,02/11/2015,Blue Byte,Ubisoft,"Strategy,City Builder,Simulation",2141,1245,3399
Hatoful Boyfriend: Holiday Star,15/12/2015,"Mediatonic,The Irregular Corporation",Devolver Digital,"Indie,Visual Novel,Adventure",304,22,699
FINAL FANTASY IX,14/04/2016,Square Enix,Square Enix,"JRPG,Great Soundtrack,Story Rich",3875,325,1599
FINAL FANTASY V,24/09/2015,Square Enix,Square Enix,"RPG,JRPG,Class-Based",489,198,1099
FINAL FANTASY VI,16/12/2015,Square Enix,Square Enix,"RPG,JRPG,Story Rich",884,259,1099
Raging Justice,08/05/2018,MakinGames Ltd,Team17 Digital Ltd,"Indie,Action,Violent",26,12,999
The Escapists: The Walking Dead,30/09/2015,Team17 Digital Ltd,Team17 Digital Ltd,"Zombies,Survival,Indie",360,218,1299
Endless Space® 2,18/05/2017,AMPLITUDE Studios,SEGA,"Strategy,Space,Sci-fi",8161,1986,3499
Call of Duty®: Modern Warfare® Remastered,27/07/2017,"Raven Software,Beenox",Activision,"FPS,Action,Multiplayer",1148,1112,3499
Okhlos: Omega,18/08/2016,Coffee Powered Machine,Devolver Digital,"Action,Indie,Strategy",528,134,999
Dangerous Golf,02/06/2016,Three Fields Entertainment,Team17 Digital Ltd,"Sports,Action,Indie",251,305,1499
Eagle Flight,20/12/2016,Ubisoft Montreal Studio,Ubisoft,"Simulation,Action,VR",160,83,1699
DRAGON QUEST HEROES™ Slime Edition,03/12/2015,KOEI TECMO GAMES CO.LTD.,Square Enix,"Action,Hack and Slash,JRPG",698,327,2499
Motorsport Manager,09/11/2016,Playsport Games,SEGA,"Management,Racing,Simulation",4278,488,2499
OmniBus,26/05/2016,Buddy CopsLLC,Devolver Digital,"Indie,Racing,Action",195,48,699
Block'hood,10/05/2017,Plethora-Project LLC,Devolver Digital,"City Builder,Simulation,Strategy",707,248,1099
Goetia,14/04/2016,Sushee,Square Enix,"Adventure,Indie,Point & Click",223,51,999
Grow Up,16/08/2016,Reflections a Ubisoft Studio,Ubisoft,"Adventure,Open World,Casual",941,118,859
Hitman GO: Definitive Edition,23/02/2016,Square Enix Montréal,Square Enix,"Strategy,Turn-Based,Puzzle",782,152,649
Golf With Your Friends,29/01/2016,Blacklight Interactive,Team17 Digital Ltd,"Early Access,Mini Golf,Multiplayer",15946,1723,479
Rock of Ages 2: Bigger & Boulder™,28/08/2017,ACE Team,SEGA,"Strategy,Action,Comedy",1423,348,1099
Octahedron: Transfixed Edition,20/03/2018,Demimonde,Square Enix ,"Indie,Platformer,Great Soundtrack",62,2,999
Trials of the Blood Dragon,13/06/2016,"Redlynx,Ubisoft Kiev",Ubisoft,"Racing,Retro,Platformer",96,50,1249
Children of Zodiarcs,18/07/2017,Cardboard Utopia,Square Enix,"RPG,Indie,Strategy",210,77,1359
I am Setsuna,19/07/2016,Tokyo RPG Factory,Square Enix,"JRPG,RPG,Turn-Based Combat",848,310,2999
STRAFE: Millennium Edition,09/05/2017,Pixel Titans,Devolver Digital,"Gore,FPS,Indie",1235,487,1139
Might and Magic: Heroes VII – Trial by Fire,04/08/2016,Limbic Entertainment,Ubisoft,"Strategy,RPG,Turn-Based",159,151,2599
Just Dance 2017,27/10/2016,"Ubisoft Paris,Ubisoft Pune",Ubisoft,"Music,Multiplayer,Casual",1182,246,4199
Watch_Dogs® 2,28/11/2016,Ubisoft,Ubisoft,"Illuminati,Open World,Hacking",20905,5366,4999
APE OUT,28/02/2019,"Gabe Cuzzillo,Bennett Foddy,Matt Boch",Devolver Digital,"Indie,Action,Violent",259,21,1099
Overcooked,03/08/2016,Ghost Town Games Ltd.,Team17 Digital Ltd,"Local Co-Op,Local Multiplayer,Co-op",6653,650,1299
The Lab,05/04/2016,Valve,Valve,"Free to Play,VR,Action",2926,145,0
Bayonetta,11/04/2017,PlatinumGames,SEGA,"Action,Female Protagonist,Hack and Slash",8866,843,1499
