name,release_date,developer,publisher,steamspy_tags,positive_ratings,negative_ratings,price
Return to Zork,18/04/2017,Activision,Activision,"Adventure,FMV",11,0,479
The Red Strings Club,22/01/2018,Deconstructeam,Devolver Digital,"Cyberpunk,Pixel Graphics,Story Rich",2688,221,1139
FINAL FANTASY XII THE ZODIAC AGE,01/02/2018,Square Enix,Square Enix,"RPG,JRPG,Fantasy",1706,277,3499
Trackmania² Lagoon,23/05/2017,Nadeo,Ubisoft,"Racing,Sports,Multiplayer",116,75,1699
Yu-Gi-Oh! Duel Links,16/11/2017,Konami Digital Entertainment,Konami Digital Entertainment,"Free to Play,Card Game,Anime",7969,2563,0
Romancing SaGa 2,15/12/2017,"Square Enix,ArtePiazza",Square Enix,"RPG,JRPG,Pixel Graphics",72,50,1999
STAR OCEAN™ - THE LAST HOPE -™ 4K & Full HD Remaster,28/11/2017,"Square Enix,tri-Ace",Square Enix,"RPG,Action,JRPG",503,223,1599
Minit,03/04/2018,JW Kitty Jukio and Dom,Devolver Digital,"Adventure,Indie,Pixel Graphics",823,91,699
CHRONO TRIGGER®,27/02/2018,Square Enix,Square Enix,"RPG,JRPG,Classic",1121,376,1199
Deadbeat Heroes,10/10/2017,Deadbeat Productions,Square Enix ,"Action,Local Co-Op,Indie",15,2,1099
SPACEPLAN,03/05/2017,Jake Hollands,Devolver Digital,"Casual,Indie,Clicker",1183,121,199
The Swords of Ditto,24/04/2018,onebitbeyond,Devolver Digital,"Adventure,RPG,Action",650,597,1139
ATOMEGA,19/09/2017,Reflections a Ubisoft Studio,Ubisoft,"Action,Indie,Multiplayer",609,189,859
Weedcraft Inc,11/04/2019,Vile Monarch,Devolver Digital,"Indie,Simulation,Strategy",234,77,1549
Football Manager 2018,09/11/2017,Sports Interactive,SEGA,"Sports,Simulation,Management",4399,2466,3799
Football Manager Touch 2018,09/11/2017,Sports Interactive,SEGA,"Sports,Simulation,Soccer",75,54,2199
Spelunker Party!,19/10/2017,"Tozai Games, Inc.,O-TWO inc.",Square Enix,"Action,Adventure,Platformer",24,3,2399
Sonic Forces,07/11/2017,"Sonic Team,Hardlight",SEGA,"Great Soundtrack,Adventure,Character Customization",2156,1045,3499
